,rfc,logit,gbc,keras_ann,sk_ann
Term: 36 months,-5.5659341592174645,485.00080335897167,6.78832044108417,-0.06015880538289499,-32.22491125986384
Term: 60 months,0.50155684481913,-700.121023837272,14.698489303322688,-0.7025697007732564,-32.08727826491715
Loan_Grade:A,175.2715965664294,273.5596634041757,27.433381304825367,0.9601902174295981,36.85318408912622
Loan_Grade:B,110.59565281676701,88.00425582165619,38.5975617378442,0.21473251699329776,14.900796997693128
Loan_Grade:C,10.437747947707091,-651.6410922818952,0.8938368060053027,-0.23999381800351538,-4.474783379402766
Loan_Grade:D,-51.468383928898824,-511.3913387347837,-10.338740967650786,-0.3575269176986569,-42.93079390294108
Loan_Grade:E,-2.2339121928386927,-199.46607933087094,0.2489029743690132,-0.15710644303305907,-4.670296048089552
Loan_Grade:F,-5.416368561706687,-32.27890317022033,-1.0662426318640275,-0.004420281085564786,-5.862409203224995
Loan_Grade:G,-0.8139880544126944,-13.62605428112526,0.006156059470708422,0.01016833630376526,-2.1169005547903073
Loan_SubGrade:A1,17.656817917084158,38.63489399758438,18.607382953047967,0.10732543110702206,5.872010983216755
Loan_SubGrade:A2,8.84999917594113,34.36592883391982,22.558332147601785,0.1180773532609523,5.843803615514553
Loan_SubGrade:A3,2.117802662456858,17.34803318626599,2.8690247570455636,0.12383397439060309,3.5200461672253556
Loan_SubGrade:A4,14.28258963937684,0.0,12.17540525815812,0.28262723941742857,9.8743324694639
Loan_SubGrade:A5,2.675519551206186,-11.763559974828054,-1.1553030753305156,0.18013098468566482,6.380159453630811
Loan_SubGrade:B1,10.117235571686695,45.43512478622993,15.520153782307016,0.09031987520338851,2.4089138166860065
Loan_SubGrade:B2,6.034608273084044,50.039587565919945,24.05281080971893,0.052212149544917374,4.275578679887719
Loan_SubGrade:B3,1.1156727578169197,21.716019262645037,5.930593030721025,0.03699379832219493,0.9647103421808857
Loan_SubGrade:B4,5.219618176747163,-1.373369727500523,-6.381115391717325,0.07019402674453787,4.984922403132002
Loan_SubGrade:B5,7.062899414232319,-46.15440749862967,12.675553465477895,0.019964059879466887,-0.048146772297262434
Loan_SubGrade:C1,6.874974641512293,50.504008983091325,0.7486560829287933,-0.008329003513054815,2.0444051226559368
Loan_SubGrade:C2,-0.48019260024559024,2.7802132316054915,1.6485851043929585,-0.09684609370023277,1.2173767131311124
Loan_SubGrade:C3,0.8558849052812243,-19.083047598723265,-13.242419874986513,0.07080259517392437,-0.31603835818202564
Loan_SubGrade:C4,-0.6731239796695953,-54.6155462634774,3.9664368048313876,-0.06799490654231156,-2.71202597248293
Loan_SubGrade:C5,-3.324482314502203,-96.39039216828073,-4.504421574140261,-0.056862800754568905,-6.882616281245919
Loan_SubGrade:D1,0.41784527798286936,19.862422494266845,-3.1193225237231905,0.02016692922568708,-5.548133632747314
Loan_SubGrade:D2,0.0195861544568162,-0.01568679921579416,-2.708698279919698,-0.044945755087128045,-5.257364548942996
Loan_SubGrade:D3,-1.4057144692301984,-20.848921698973957,-6.921024907163235,0.036892517645079746,-2.784369299426754
Loan_SubGrade:D4,-2.6853207380374613,-55.63862249614754,-1.8799374040548396,-0.020088312992225823,-5.874115411114666
Loan_SubGrade:D5,-9.568622184019182,-68.90532101882518,-12.713098265194722,-0.03322809455743286,-21.26611858631802
Loan_SubGrade:E1,1.7926035772285893,12.514452127959558,1.5142741156198283,0.048022282476709977,3.44030298003142
Loan_SubGrade:E2,-0.053713609814092345,-0.010021643842130085,-0.14541411569913404,-0.009973917141109161,-0.3116572410639214
Loan_SubGrade:E3,-1.1502924331531816,-10.076776819233206,-0.8128222501723864,0.02664355221288222,-1.399300921027286
Loan_SubGrade:E4,-0.06069881844696728,-14.95725189579925,-1.6761490612190144,0.07848099473200601,-0.8808039470783007
Loan_SubGrade:E5,-2.438189134382404,-36.466526658749935,-2.123147245745559,0.030210555962614415,-7.215786065175986
Loan_SubGrade:F1,-0.5348357077861904,-0.07744578205315827,-0.010572380124883934,0.0030556978892730575,-2.07063452200421
Loan_SubGrade:F2,-0.11767053535309761,0.023850739271237098,0.0010994107984411581,0.009837939430812816,-1.1081185011327288
Loan_SubGrade:F3,-0.06032256765351973,-0.015732542731151766,-0.0026906929114633715,-0.004419620264756341,-0.3282484792077164
Loan_SubGrade:F4,-0.0071458138569979145,0.0,-0.013023306763835252,0.0032515832344895265,-0.190194062689331
Loan_SubGrade:F5,0.0,0.0,0.0,0.0,-0.031690106368312876
Loan_SubGrade:G1,-0.30340659181993174,0.0,0.0023784271468828043,0.01865609157590535,-1.0753052310209408
Loan_SubGrade:G2,-0.0016314617490732217,0.0,0.0,0.0,-0.12104442558039519
Loan_SubGrade:G3,0.0,0.0,0.0,0.0,0.0
Loan_SubGrade:G4,0.0,0.0,0.0,-0.01682999303547198,-0.018738055076952254
Loan_SubGrade:G5,0.0,0.0,0.00762055836229086,0.004526211960965143,-0.009653013997664477
Employment_Length:1 year,0.9138316832596804,-0.09944967504137626,2.2705660424383143,0.08550500787424682,4.608020715709617
Employment_Length:10+ years,0.45929581657243873,-1.2311738457459125,-1.3227497475125478,0.2766239080152616,-2.607788537658065
Employment_Length:2 years,0.5598371602364325,0.16194142900848954,1.900445338549569,0.015593208071628874,5.939477468535476
Employment_Length:3 years,-0.3046841413914423,-0.37908652937200926,-0.34011076704633053,-0.005730867544300515,1.9343901780996844
Employment_Length:4 years,-0.46416117899270304,-1.2210925555224068,-0.8001594888806399,0.07061178686582784,-1.8430443992644672
