,rfc,logit,gbc,keras_ann,sk_ann
Term: 36 months,9.675120358274397,485.00080335897167,6.885450117418752,1.7708889984111689,32.85032098769789
Term: 60 months,8.782960913633977,700.121023837272,14.739951264569378,2.2335629933741683,32.98746726390417
Loan_Grade:A,175.2715965664294,273.5596634041757,27.433381304825367,1.4742045790617866,36.95156123946395
Loan_Grade:B,110.59565281676701,88.03404618178011,38.5975617378442,1.2330414930322595,15.510519464023073
Loan_Grade:C,16.641734366087626,651.6410922818952,1.426108939150512,1.7377362345623397,6.883285207529028
Loan_Grade:D,51.468383928898824,511.3913387347837,10.405075733112497,1.1126072096581379,42.93079390294108
Loan_Grade:E,2.7361277437686446,199.46607933087094,0.49388074749657185,0.622838617175967,4.780486066935266
Loan_Grade:F,5.416368561706687,32.27890317022033,1.0662426318640275,0.07294263478084603,5.862409203224995
Loan_Grade:G,0.8139880544126944,13.62605428112526,0.01190757232337374,0.03305628454684015,2.1169005547903073
Loan_SubGrade:A1,17.656817917084158,38.63489399758438,18.607382953047967,0.19815934202932015,5.872010983216755
Loan_SubGrade:A2,8.84999917594113,34.36592883391982,22.558332147601785,0.1297012362663995,5.843803615514553
Loan_SubGrade:A3,2.403050609142768,17.34803318626599,4.094413965259134,0.14712969518522226,3.563065159571463
Loan_SubGrade:A4,14.780249947722458,0.0,12.325080250803664,0.30356465816169714,9.8743324694639
Loan_SubGrade:A5,4.964898915643148,11.763559974828054,1.1553030753305156,0.2379546742446975,6.380159453630811
Loan_SubGrade:B1,10.117235571686695,45.43512478622993,15.520153782307016,0.3000790368403165,2.511865686825827
Loan_SubGrade:B2,6.043392246072339,50.08633926858148,24.05281080971893,0.28433469915228543,4.398020479804645
Loan_SubGrade:B3,1.4690259832701444,21.716019262645037,7.091173923924214,0.14114368117012988,1.1233463465955225
Loan_SubGrade:B4,6.14482699283421,1.4296456508743216,6.398197804513082,0.325104679684318,5.061331169785694
Loan_SubGrade:B5,7.151516799507881,46.15440749862967,12.675553465477895,0.28588199628097666,0.9637816155089187
Loan_SubGrade:C1,6.874974641512293,50.504008983091325,1.5584666736643646,0.23571305665745268,2.239456375538373
Loan_SubGrade:C2,1.4450357202190536,2.908530287039881,3.5484370455711076,0.4010464714719438,1.847758957971304
Loan_SubGrade:C3,1.4269158957798582,19.083047598723265,13.242419874986513,0.35511762749261594,1.2244745815213995
Loan_SubGrade:C4,1.2511227259785482,54.6155462634774,4.1092881647693105,0.21368988656110233,2.9821368006624724
Loan_SubGrade:C5,3.3509231970523508,96.39039216828073,4.504421574140261,0.2970344758970635,6.882616281245919
Loan_SubGrade:D1,0.9201417074747915,19.862422494266845,3.1193225237231905,0.23787899333413579,5.582380966683607
Loan_SubGrade:D2,0.725763620059766,0.1752404732185681,2.819887756425478,0.27239173698744124,5.257364548942996
Loan_SubGrade:D3,1.4291424024223947,20.848921698973957,6.937647285469494,0.17260259674880574,2.784369299426754
Loan_SubGrade:D4,2.7392012651281017,55.63862249614754,2.4357450987936744,0.25137610201967237,5.874115411114666
Loan_SubGrade:D5,9.568622184019182,68.90532101882518,12.713098265194722,0.19399538988528506,21.26611858631802
Loan_SubGrade:E1,1.8445400875213604,12.514452127959558,3.994392557217706,0.1741438212940551,3.44030298003142
Loan_SubGrade:E2,0.0676020343443913,0.010021643842130085,0.2815203624583789,0.009973917141109161,0.3116572410639214
Loan_SubGrade:E3,1.1502924331531816,10.076776819233206,0.8556456340043795,0.0669425260353787,1.399300921027286
Loan_SubGrade:E4,0.09589551094678032,14.95725189579925,1.6990969235150741,0.08193952543097421,0.8808039470783007
Loan_SubGrade:E5,2.438189134382404,36.466526658749935,2.123147245745559,0.2015589208015276,7.215786065175986
Loan_SubGrade:F1,0.5348357077861904,0.07744578205315827,0.010572380124883934,0.01715391993692054,2.07063452200421
Loan_SubGrade:F2,0.11767053535309761,0.023850739271237098,0.018379599241729334,0.03335878399821787,1.1081185011327288
Loan_SubGrade:F3,0.06032256765351973,0.015732542731151766,0.0026906929114633715,0.004419620264756341,0.3282484792077164
Loan_SubGrade:F4,0.0071458138569979145,0.0,0.013023306763835252,0.0032515832344895265,0.190194062689331
Loan_SubGrade:F5,0.0,0.0,0.0,0.0,0.031690106368312876
