,rfc,logit,gbc,keras_ann,sk_ann
Term: 36 months,9.81780195393719,484.32966114643426,6.731153376094742,2.318905967902854,11.944924681405855
Term: 60 months,8.883628902767693,700.037573438949,14.964482665417885,2.620053714534278,12.473090407779665
Loan_Grade:A,175.20904356490053,273.90079822602456,27.398584922113958,2.2158521456365214,16.402362313046662
Loan_Grade:B,110.51663150618786,88.2993927832526,38.65331734304828,1.6263098793318016,7.432718770279659
Loan_Grade:C,16.681297125339885,650.9798796089323,1.3544676757574385,2.072047010623599,4.5531236130740576
Loan_Grade:D,51.52524290551994,512.0532095311062,10.427000172862819,1.649412767233666,15.427563623431968
Loan_Grade:E,2.7200215286524294,199.3880330528453,0.5404910491604042,0.5695954474438596,2.9939429707548952
Loan_Grade:F,5.421346237117209,32.30075171350949,1.0901918827846568,0.11286083641418382,2.146388663242465
Loan_Grade:G,0.805512705678607,13.46867361100659,0.029623827002564808,0.08201449119252316,0.5071907849098487
Loan_SubGrade:A1,17.662810820930225,38.692123760276736,18.711735112663746,0.2593750473399017,2.5416628564723407
Loan_SubGrade:A2,8.818164198695186,34.268742972234385,22.558012232739056,0.2991472270723715,2.6693572621146093
Loan_SubGrade:A3,2.375139938865526,17.259032714954017,4.063673175624995,0.1944522842680761,1.56479780223474
Loan_SubGrade:A4,14.807666347446366,0.0434626233893286,12.36315544501489,0.5096243311629819,4.289177692071616
Loan_SubGrade:A5,4.953359309484609,11.736566864045514,1.186262240884998,0.3914568453003441,2.990360742496855
Loan_SubGrade:B1,10.103071594235049,45.546999849794716,15.512327357442052,0.12202095206185083,1.195541332576825
Loan_SubGrade:B2,6.091462669054612,50.06484708975229,24.09488114044225,0.23269741126986326,2.3602296744337057
Loan_SubGrade:B3,1.4807149302687608,21.759113987491048,7.1663069458877136,0.23043791483801396,0.4575992384063341
Loan_SubGrade:B4,6.196993997713008,1.3445326332120007,6.322754922637004,0.4882127071625252,2.4348659243916884
Loan_SubGrade:B5,7.147854697972358,46.212347352606194,12.691012267273885,0.374351225026859,0.7379783242135075
Loan_SubGrade:C1,6.8445561991519615,50.63672572580838,1.4744299726169081,0.30299183362173526,1.2110115357917761
Loan_SubGrade:C2,1.438125429345867,2.9112059182687777,3.5230964693073723,0.38591786773643444,0.7688678411288286
Loan_SubGrade:C3,1.4610187146943565,19.125071133649108,13.284459385697446,0.3868919436787651,0.8376318653373839
Loan_SubGrade:C4,1.2540742932681033,54.77247042941018,4.137991307368419,0.40248840624622495,1.5614649377736132
Loan_SubGrade:C5,3.31088912866966,96.70784975555536,4.644028031702532,0.29276371890756847,2.5167504101141933
Loan_SubGrade:D1,0.8795747564387754,20.06143283704457,3.1089748293794512,0.1941554751304304,2.269221888293123
Loan_SubGrade:D2,0.7305807564995732,0.2017530158468906,2.760908006938422,0.2146412452744828,1.8624609242455337
Loan_SubGrade:D3,1.4363478668174876,21.130319036643527,7.007644991066677,0.2371619552403313,1.0837436815920716
Loan_SubGrade:D4,2.6868878784754058,55.85051936502044,2.52013514868472,0.2978498015861663,2.2677664968127345
Loan_SubGrade:D5,9.577333463043955,68.42596600754784,12.756658159891773,0.23624453941939266,5.664072859280248
Loan_SubGrade:E1,1.8452553511810867,12.394175631162673,4.02645119454794,0.19668490092296215,1.7370568572205627
Loan_SubGrade:E2,0.06353198801095442,0.0,0.28871238018727086,0.10040537520112745,0.1468703462660612
Loan_SubGrade:E3,1.1342159389952595,10.2111834956428,0.8746010361108206,0.06827189318933542,0.5900971806686902
Loan_SubGrade:E4,0.10611479975607263,15.010078756007552,1.7214984900661938,0.06731489980238323,0.4511030128184156
Loan_SubGrade:E5,2.4479246383471427,36.302642107452925,2.1147195961624057,0.2034245514881149,2.3361557984213603
Loan_SubGrade:F1,0.5268846793660165,0.0,0.002039543233698305,0.04618231954260308,0.7031702103655155
Loan_SubGrade:F2,0.1240263984199967,0.0,0.011733964870231773,0.041589660582968646,0.37862674313106276
Loan_SubGrade:F3,0.07372296611089121,0.03557031090256582,0.007716823245109769,0.018026457249831675,0.04536888122496355
Loan_SubGrade:F4,0.004705045914914548,0.0,0.006716583145000883,0.0,0.08206291443154017
Loan_SubGrade:F5,0.0,0.0,0.0,0.0,0.0432167484144447
Loan_SubGrade:G1,0.3150044294452815,0.0,0.01836944590149022,0.02273216794934778,0.21750337066814748
Loan_SubGrade:G2,0.0,0.0,0.0,0.035601490725316084,0.012112726096320178
Loan_SubGrade:G3,0.0,0.0,0.0,0.0,0.0
Loan_SubGrade:G4,0.0,0.0,0.0,0.019908556889166262,0.0
Loan_SubGrade:G5,0.0,0.0,0.0,0.0,0.0
Employment_Length:1 year,1.375197022300612,0.3121060304985583,2.4053665135159368,0.5786929817556138,2.093490011561039
Employment_Length:10+ years,2.239371415565398,1.6318065468612362,2.0063522171610195,2.175972466892316,4.554960325585832
Employment_Length:2 years,1.4662338578732166,0.4171056077724831,2.463420091754358,0.5928559068047884,3.0284380912344906
Employment_Length:3 years,1.0704941437209918,0.523448229285352,0.7702182181897297,0.5770230156071773,1.7868938256330404
Employment_Length:4 years,0.7296411599783675,1.3416796860834144,1.0191937818012737,0.3636641214775217,1.058569548796189
Employment_Length:5 years,1.0778783228147417,0.21616334166558665,0.4779773319395902,0.39797190881399364,1.011735244628324
Employment_Length:6 years,1.7735988587922826,0.16512132307038985,5.529706975123406,0.2052226694733414,0.8551557780703137
Employment_Length:7 years,0.49941484330236996,0.12779049460332065,0.40669256742608,0.2611548946119516,0.5873909540845633
